Name,Title,Departments,Research Keywords,Faculty Information,Office Room,Location,Website
Lisa Feigenson,Professor ,Department of Psychological & Brain Sciences," Cognitive development, numerical cognition","Housed in the Johns Hopkins University Department of Psychological and Brain Sciences, we investigate how infants and young children understand the world around them.

Our studies, featured in media outlets including the New York Times, NPR, and Time Magazine, ask questions such as: What do babies remember about hidden objects?  What are the developmental foundations of mathematical thinking?  Are children logical?  And how does surprise affect infants’ learning?",Ames 200D,Ames,http://www.psy.jhu.edu/~labforchilddevelopment/
Lisa Fornaresio,Clinical Trials Program Administrator,Surgery,     Cardiac Surgery   Structural Heart  Sociology  Health-Related Quality of Life  Quantitative and Quantitative Research Methods    ,,Zayed 7107,1800 Orleans St,
Lisa Jacobson,Professor,Epidemiology,"Epidemiology, epidemiologic methods, cohort studies, HIV, cancer, child health, data analysis centers","Dr. Jacobson's research interests include epidemiologic methods in cohort studies, HIV, effects of therapy on HIV, and infectious causes of cancer, particularly the human herpesvirus-8 (HHV-8) and Kaposi's sarcoma, and the effects of HIV, therapy and age. As the Principal Investigator of the Data and Analytical Coordinating Center for the Multicenter AIDS Cohort Study (MACS), Dr. Jacobson provides epidemiologic expertise in the conduct of the study, with particular attention to the standardization of study protocols and the design of nested studies. Dr. Jacobson chairs the MACS Data Working Group and represents CAMACS in the Malignancy Group of the Clinical Working Group and participates in the MACS Executive Committee. In addition, she provides epidemiologic, methodological and analytic support to the investigators of the Women's Interagency HIV Study (WIHS), and to those involved in the mulicenter cohort study of kidney disease in children (CKID). Dr. Jacobson analyzed the timing of infections with HIV-1 and HHV-8 for progression to Kaposi's sarcoma [J Infect Dis 2000;181:1940-1949]. As an extension of her interest in malignacies and research design, Dr. Jacobson collaborates with investigators from the Department of Environmental Health Sciences in investigations of molecular biomarkers for environmental carcinogens.

Dr. Jacobson is also investigating the use and impact of highly active antiretroviral therapies (HAART), in the context of cohort studies. In one paper, Dr. Jacobson demonstrated the dramatic decline of Kaposi's sarcoma in the HAART era; a similar immediate effect on the incidence of non-Hodgkin's lymphoma was not observed [JAIDS 1999;21:S34-S41]. In another paper, Dr. Jacobson demonstrated that the heterogeneity of using antiretroviral therapies differs according to disease stage [J Clin Epidemiol 2001;54:149-156]. Dr. Jacobson also showed that those starting HAART with <200 cells/µ have the equivalent progression to AIDS as those with approximately 300 more cells in the nautral history era [Am J Epidemiol 2002;155:760-770]. This compliated historical and prospective data provided methods for using biomarker data to established treatment effectiveness. She provides epidemiologic expertise to the analyses of HIV effectiveness, long-term use and outcomes, including behavior related to HAART. Taking advantage of her expertise in epidemiologic methods, Dr. Jacobson instructs doctoral students in the application of these methods in the formation and review of research proposals.","615 N. Wolfe Street, Room E7646, Baltimore, Maryland 21205",615 N. Wolfe Street,
Lisel Hintz,Assistant Professor ,Washington DC,Turkey; Ethnic & Nationalist Conflict; Foreign Policy; International Relations; Social Movements & Collective Action; Strategic and Security Issues,"I am fascinated by issues of identity politics, authoritarian consolidation, and the politics of resistance - and particularly how these intersect with popular culture and other forms of media. My regional focus is on Turkey and its neighborhood relations, particularly in Europe and the Middle East. My 2018 book from Oxford University Press, Identity Politics Inside Out: National Identity Contestation and Foreign Policy in Turkey, examines how Turkey's Justice and Development Party (AKP) used foreign policy gambits to weaken its domestic obstacles and open up space for disseminating its own Ottoman Islamist understanding of Turkish national identity. 

My current book project, under contract with Cambridge University Press, examines state-society struggles over identity in Turkey through the lens of popular culture. My recent BJMES article explores pop culture as a vernacular platform of resistance against the Turkish government's increasing authoritarianism. I preview both these works for a wide audience in a recent Washington Post article exploring how two rap videos galvanized Turkey's embattled opposition around issues ranging from increasing violence against women to environmental degradation to apathy. I also discuss these dynamics on a panel on art and authoritarianism in Turkey with one of the video's creators, rapper Sarp Palaur (aka Şanışer).

Turkey is a culturally vibrant and intellectually puzzling state, from aspects of civil-military relations to ethnic and gender politics to regional (in)security. While a traditional Western ally, Turkey is an increasingly erratic actor at home and abroad, most visibly in Syria and Libya. Understanding its domestic and foreign policies is vital, and demands innovative forms of analysis that can be communicated to academic audiences, policy communities, and university classrooms. With this aim, I speak and write widely on Turkey’s relations in its complex neighborhood as well as with the US and the EU, the Syrian refugee crisis, Kurdish and Alevi issues, and the ruling AKP’s increasingly authoritarian grip on Turkish politics and society. My academic work includes publications in British Journal of Middle Eastern Studies, Nationalities Papers, European Journal of International Relations, International Journal of Turkish Studies, Survival​, and Project on Middle East Political Science Series. I also have contributed to Foreign Policy, the Washington Post's Monkey Cage, Boston Globe, War on the Rocks, BBC World News, and other media outlets as well as to government and think-tank panels and publications.",Rome 523A,1619 Massachusetts Ave,http://www.liselhintz.com/
Liz Selvin,Professor,"Medicine,Epidemiology",epidemiology; diabetes; diagnosis; screening; cardiovascular disease; obesity; biomarkers; diagnostics; continuous glucose monitoring; policy,"Dr. Selvin has a particular interest in the interface of epidemiology and clinical and public health policy. Much of her work focuses on the study of biomarkers and diagnostics relevant to diabetes and its complications. An overarching goal of her work is use epidemiologic research to inform diabetes, cardiovascular disease, and kidney disease screening, diagnosis, and treatment.","2024 E. Monument Street, Suite 2-600, Baltimore, Maryland 21287",2024 E. Monument Street,https://www.hopkinsmedicine.org/research/labs/elizabeth-selvin-lab
Lois Privor-Dumm,Senior Research Associate,International Health,vaccinesimmunization policyadvocacy value of vaccinesvaccine hesitancyIndialow & middle income countries,,"415 N. Washington Street, 5th Floor, Baltimore, Maryland 21205",415 N Washington St,
Loreto Sanchez Serrano,Associate Teaching Professor,"Modern Languages and Literatures,Spanish Program", Computer-assisted language learning,,Gilman 463,Gilman Hall,
Lori Burrell,Senior Research Associate,"Population, Family and Reproductive Health",,"I have over 20 years of experience in implementation and evaluative research which includes longitudinal, multi-site randomized trials of the effectiveness of scaled-up home visiting programs, mixed methods research on comprehensive early childhood strategies incorporating home visiting targeted to children and families in communities with health disparities, and the use of innovative research methods to promote precision home visiting and to accelerate the integration of research results into practice. My research incorporates methods of continuous quality improvement and collaboration with state and local home visiting program leaders and staff in using existing program data to identify areas for improved service delivery and develop and test process changes to improve long-term outcomes. I collaborate with stakeholders at all levels of the service and research continuums, with extensive experience in working with federal, state, and local program staff and administrators in the design, execution, and dissemination of evaluative research studies. I have a clinical degree in social work and my work with vulnerable individuals in clinical settings has broadened my approach to social services evaluation and dissemination of policy relevant findings for improving programs for at-risk families with young children.","1620 McElderry Street, Reed Hall 203, Baltimore, Maryland 21205",Reed Hall ,
Lori Graham-Brady,Professor ,"Civil and Systems Engineering (CASE),Materials Science and Engineering,Mechanical Engineering,Hopkins Extreme Materials Institute,Institute for Data Intensive Engineering & Science (IDIES)","Stochastic Finite Element Methods, Probabilistic Mechanics, Stochastic Simulation of Material Properties, Micromechanics","he Graham-Brady research group focuses on the problem of modeling the effects that material randomness has on structural performance. This material variability plays a key role in localizations that lead to large-scale structural failure. Recent application areas include ceramics and concrete under high-rate loading, characterization error in high-strength metal alloys, composite materials under impact, and lightweight porous materials.",Latrobe Hall 210,Latrobe Hall,https://www.ce.jhu.edu/lori/
Lorraine Dean,Associate Professor,"Medicine,Oncology, Sidney Kimmel Comprehensive Cancer Center,Epidemiology,Health Policy and Management",social epidemiology; social determinants; cancer survivorship; HIV/AIDS; disparities; privilege & health,"Our lab is dedicated to investigating disparities in chronic disease and identifying the social and economic factors that lead some groups to experience health or disease differently than others.

Our work is rooted in Social Epidemiology principles and methods, and includes exploring social factors such as social capital and healthcare system distrust, and economic factors, such as consumer credit scores and financial toxicity, and how they contribute to health outcomes.  As a social epidemiology lab, our emphasis is on social determinants of health, which we apply to a broad range of communicable and non-communicable chronic diseases.

It’s true! We do all of our work as a means of affecting change in the world, first through in an approach to science that has a social justice orientation, and then to how that science applies to policy and populations.

Ultimately, our goal is to contribute science that dismantles health disparities and the structures of power that contribute to them.","615 N. Wolfe Street, Room E6650, Baltimore, Maryland 21205",615 N. Wolfe Street,http://www.drdeanlab.com/
Louis Whitcomb,Professor,"Computer Science,Mechanical Engineering",nonlinear and adaptive control of robot systems; robot actuators and sensors; mechanical design; and control systems design for high-performance robot control,"Our research focuses on the dynamics and control of mechanical systems. Specific topic areas include nonlinear and adaptive control of robot systems; robot actuators and sensors; mechanical design; and control systems design for high-performance robot control. We are pursuing research problems motivated by two application areas that share a common underlying analytical framework: (1) underwater robot vehicles and (2) robot manipulators. Our methodology is to address these fundamental enabling theoretical issues, and to experimentally validate the utility of theoretical results in actual working systems.

Control Systems: Adaptive and model-based control of linear and nonlinear systems, observers, nonlinear systems analysis, with focus on problems arising in mechanical systems, robots, and robotic vehicles.

Underwater Robotics: Dynamics, control, instrumentation, andnavigation of underwater vehicles and inhabited submersibles – with focus on deep submergence oceanographic vehicles.

Telerobotics: Dynamics, control, instrumentation, and operation of precision robotics for novel space, and industrial applications.",115 Hackerman Hall,Hackerman,https://dscl.lcsr.jhu.edu/
Loyal Goff,Assistant Professor ,"Neuroscience,Institute of Genetic Medicine, McKusick-Nathans","Developmental Neuroscience; Cellular, Molecular Neuroscience, Single Cell Variation in Neural Development and Disease
","The goal of my research program is to answer a fundamental biological question: how is the genome properly interpreted to coordinate the diversity of cell types observed during neuronal development? We are focused on the acquisition of specific cellular identities in neuronal development and identifying the molecular determinants responsible for proper brain development. Using novel experimental approaches for the enrichment and purification of specific neuronal cell types, and  recent technological advances in single-cell RNA sequencing, we can discover and explore the cellular factors that contribute to neuronal cell fate decisions during mammalian brain development. We use these approaches to establish high-resolution time courses of neuronal differentiation and maturation. Much of our work is focused on the 'noncoding genome' and in particular, a specific class of molecules known as long noncoding RNAs (lncRNAs). LncRNAs represent a recently-formalized class of RNA molecules with established roles in differentiation, cell fate specification, apoptosis, and various disorders. The flexibility of RNA as a functional substrate, the observed tissue and cell type specificity of these molecules, and their abundance and exquisite spatio-temporal regulation in the developing brain suggest that these genes are uniquely poised to contribute to the observed heterogeneity of the mammalian brain. My group is interested in the mechanisms by which lncRNAs regulate target gene expression in the context of neuronal differentiation, their coordinate interactions with regulatory protein complexes, their association with neurodevelopmental disorders, and their functional roles in establishment and maintenance of specific neuronal phenotypes",MRB449,Miller Research Building,http://www.gofflab.org/
Luciana Assini-Meytin,Assistant Scientist,Mental Health,childhood trauma; child sexual abuse prevention; adolescent health; life course research; health disparities; teenage parenting;,"My research is primarily focused on the development and evaluation of strategies to prevent children from being sexually abused. I also utilize longitudinal cohorts to examine the long-term consequences of child sexual abuse and other types of traumatic events experienced in childhood, for both men and women. My training is in Psychology and Public Health, with a focus on behavioral analysis and life-course research.","415 N. Washington Street, Baltimore, Maryland 21231",415 N Washington St,
Luciana Bianchi,Research Professor,Department of Physics & Astronomy, Observational Astrophysics; hot stars; stellar populations in nearby galaxies; Ultraviolet space instrumentation; surveys,,Bloomberg 407,Bloomberg Center,http://dolomiti.pha.jhu.edu/
Lucy Bucknell,Senior Lecturer,Program in Film & Media Studies, American film; literature and film; screenwriting,,Film Centre - Suite 204,10 E North Ave,
Ludmila Poliakova,Lecturer,Department of Economics," Macroeconomics, Development Economics",,Wyman Park Building 530,Wyman Park Building,
Luo Gu,Assistant Professor,Materials Science and Engineering,"Biomaterials, Nanomaterials, Cell and Tissue Engineering, Immunoengineering, Drug Delivery, and Imaging","His research focuses on understanding and engineering how cells sense and respond to the biochemical and mechanical cues from their microenvironment. In particular, his lab currently studies stem cell mechanotransduction for tissue regeneration, biomaterials-enabled cancer immunotherapy, and gene editing.",Maryland Hall 212,Wyman Quad,
M. Ali Khan,Professor ,"Department of Economics,Arrighi Center for Global Studies","Mathematical Economics, Economic Theory, History of Economic Thought, International and Development Economics","I continue to be conflicted by the qualitative-quantitative divide in what the French call les sciences humaine et sociales: the consonance and the dissonance between the languages of mathematics and those of the everyday. This divide can perhaps also be expressed as a conflict or a compromise between two movements: an upward movement characterizing mathematical economics whereby  a loose everyday intuition can be given a precise formal meaning, one that may or may not be refutable with statistical data; as opposed to  a downward movement characterizing applied theory (in the modern vernacular) whereby the hypotheses and the consequences of a  theorem can be interpreted, described  and pushed further in everyday English usage with or without statistical data.  

With this preamble, let me say that I continue to pursue interests in economic interaction over time and with uncertainty, as formalized in Walrasian general equilibrium supplemented by von-Neumann and Ramsey, and the broader interests of Paul Samuelson; and thereby in contexts in which the tension between the personal and the impersonal, and the meaning of information   can be interrogated. Interests  in models with a single agent, be he/she representative or not, as well as those with a finite number and a continuum, situations in which an individual agent is ""numerically negligible"" but is nevertheless influenced by actions, or summary statistics of actions, of all other agents in the society or collectivity, a game, of which the individual is part,  and where individual and social outcomes are uncertain.  These interests, in so far as they crystallize in problems of  family, education, population and the environment,  have led me to consider the robustness of disciplinary boundaries, and more broadly, to the relationship between economic development and cultural change. To me, this subsumes the question of how markets handle, or fail to handle, basic (positive versus normative (?)) issues of resource allocation; and has thereby led me to the theorists of the Scottish Enlightenment, to the  American transcendentalists, and to historians of art.

My interests in literature and  epistemology are complemented by those in mathematics, where I work with methods of nonstandard analysis (Loeb spaces), nonsmooth analysis and optimization (Mordukhovich-Ioffe cones), chaotic dynamics and stochastic processes (law of large numbers with a continuum of random variables).",Wyman Park 528,Wyman Park Building,
Magda von der Heydt-Coca,Senior Lecturer,Department of Sociology,"Socio-economic history of Latin America, developmental processes","The focus of her research is political economy and developmental processes in Latin America, especially the link between Latin American economies and the world economy. Publications: about the Bolivian populist revolution of 1952 (in German: Die Bolivianishe Revolution, 1982), Latin American Development from Populism to Neopopulism. A Multidisciplinary Perspective, Rowman and Littlefield, 2022  and articles in peer-reviewed international journals about Andean silver and the rise of the Western World, the incorporation of the Andean world into the emerging world-economy in the colonial period, the ethnic dynamic of social movements in Bolivia, and the neoliberal agenda in Bolivia.",Mergenthaler 560,Keyser Quad,
Mahadevappa Mahesh,Professor,"Medicine,Radiology and Radiological Science,Environmental Health and Engineering,Cardiology","Development of improved methods for radiation dose assessments during pediatric CT scans; Investigation of radiation dose strategies in MDCT; Assessment of multiple-row detector computed tomography (MDCT) technology, with emphasis on image quality and radiation dose",,"601 N. Caroline Street, Suite 4235, Baltimore, Maryland 21287",601 N Caroline St,
Malia Edwards,Assistant Professor,"Ophthalmology, Wilmer Eye Institute","neuroscience, glia, ophthalmology, immunohistochemistry, cell culture, biomedical, molecular biology, pathology","Dr. Edwards is an Assistant Professor at the Wilmer Eye Institute, Department of Ophthalmology at the Johns Hopkins School of Medicine. Dr. Edwards is researching the role of retinal glial cells in vascular development and disease pathology. Currently, the main focus of Dr. Edwards’ research is glial cell remodeling in age-related macular degeneration. Her research involves cell culture experiments, immunohistochemistry on human and rodent tissue and confocal microscopy.  Dr. Edwards enjoys having students in the lab and mentoring young scientists.  Students in her lab will become proficient in many techniques and, when warranted, be included on manuscripts. The skills developed in Dr. Edwards’ lab will be beneficial to students pursuing multiple career paths. ",Smith M023,400 N. Broadway,https://www.hopkinsmedicine.org/wilmer/research/retina/glia_lab.html
Malinda Wu,Assistant Professor,Pediatrics,"Pediatric osteoporosis, Metabolic bone disease, Cystic fibrosis-related bone disease, Bone health, Recurrent fractures, Cystic fibrosis-related diabetes, Estrogen, Female hypogonadism, General endocrinology.","Dr. Wu focuses her research efforts on understanding and characterizing bone disease in people with cystic fibrosis.&nbsp;  Dr. Wu's current research projects include a pilot and feasibility trial of transdermal estradiol for adolescent and young adult females with cystic fibrosis, mathematical modeling to predict the near-future risk for developing cystic fibrosis-related diabetes, improving adherence to national guidelines for screening for cystic fibrosis-related bone disease, and assessing the impact of the COVID-19 pandemic on access to care by people with osteogenesis imperfecta (OI).",Rubenstein 3107,Rubenstein,
Manuel Hermosilla,Assistant Professor,"Marketing,Innovation & Entrepreneurship,Institute for Data Intensive Engineering & Science (IDIES),Health",Quantitative marketing and analytics; Applied microeconomics; Causal inference; Natural experiments; Health care; Entertainment; Social media,,HE 1273,Johns Hopkins Hospital,https://sites.google.com/view/manuel-hermosilla/welcome
Mara Rosner,Assistant Professor,"Gynecology and Obstetrics,Center for Fetal Therapy","Fetal therapy, twin to twin transfusion syndrome, monochorionic twins, selective intrauterine growth restriction, neurodevelopmental outcomes, neurosonography, fetal spina bifida repair, fetoscopy, fetal diaphragmatic hernia, FETO, fetoscopic tracheal occlusion","Many fetal interventions are offered at the Center for Fetal Therapy.

My research interests focus on the fetoscopic surgery we provide for patients with monochorionic twins, in particular fetoscopic laser surgery for Twin to Twin Transfusion Syndrome. 

My interest is not only in diagnostic predictors and outcomes, but also long term neurodevelopmental outcomes.

I come to the table not only as an OBGYN with expertise in the admittedly niche field of fetal medicine and therapy, but also from a public health perspective with a degree in Maternal and Child Public Health. 

Being able to offer early diagnosis and treatment of fetal abnormalities is so important for society as a whole, for women to know they can have expert care for their pregnancy and future families is of utmost importance.   I am also a staunch supporter of women's rights, anti-racism and diversity. 

I am looking for students who are intersted in learning a good deal about fetal therapy so that they can help with data entry into our RedCap from information currently stored in ultrasound reports, operative notes and patient charts.

There is an opportunity to observe some fetal interventions and surgery and also to author papers from this work. Because there is a significant amount of learning that is a prerequisite to being able to do the data entry, it is my preference that anyone interested can make at least a 1 year commitment of at least 8 hours per week.",Nelson 228,600 N. Wolfe Street ,https://www.hopkinsmedicine.org/gynecology_obstetrics/specialty_areas/fetal_therapy/
Marc Greenberg,Professor ,"Department of Biology,Department of Chemistry,Oncology, Sidney Kimmel Comprehensive Cancer Center",Biologically relevant chemical mechanisms of nucleic acid damage and repair; design and characterization of DNA repair enzyme inhibitors and radiosensitizing agents; biotechnology,"Welcome to the Greenberg group, where synthetic and mechanistic organic chemistry, biochemistry, as well as molecular and cell biology are used to study nucleic acids. Research projects in our group include: nucleic acid chemistry in nucleosomes, DNA and RNA damage, DNA repair, photochemical control of nucleic acids, sensors for DNA lesions, DNA repair inhibitors and radiosensitizing agents.","New Chemistry Building, 313",3003 North Charles Street,https://sites.krieger.jhu.edu/greenberg/
Marc Kamionkowski,Professor,Department of Physics & Astronomy, Theoretical physics specializing in cosmology and particle physics,"I am a theoretical physicist, and my research is in cosmology, astrophysics, and elementary-particle theory. My primary research interests vary from year to year, but my main focus has been on particle dark matter, inflation and the cosmic microwave background, and cosmic acceleration. I have also worked on neutrino and nuclear physics and astrophysics, large-scale-structure and galaxy formation, intrinsic galaxy alignments and gravitational lensing, gravitational waves, phase transitions in the early Universe, alternative-gravity theories, the first stars and the epoch of reionization, and a bit in stellar and high-energy astrophysics.",Bloomberg 439,Bloomberg Center,https://sites.krieger.jhu.edu/kamionkowski/
Marc Ostermeier,Professor,Chemical and Biomolecular Engineering, Protein engineering; protein evolution; synthetic biology,"Protein switches (funded by NSF-CBET and Pebble Labs)

The incredible complexity of biological systems derives from the high degree of interactions amongst their constituent components. As such, the cell is often described as a complex circuit consisting of an interacting network of molecules. A key component of these networks are protein switches that serve to couple cellular functions. A switch changes its activity state (the output) in the presence of a biomolecular signal (the input). Examples of natural switches include allosteric enzymes which couple effector levels to enzymatic activity and ligand-dependent transcription factors that couple ligand concentration to gene expression. The ability to create switches comprised of any desired input and output functions would enable the rewiring of the cellular circuitry to our own design and has tremendous potential for developing novel molecular sensors, selective protein therapeutics, and as a tool for elucidating molecular and cellular function.

Our directed evolution strategy for switch construction involving the recombination of genes encoding the prerequisite input and output functions for the switch has proven very successful. We have created ligand-activated enzymes with up to 600-fold changes in enzyme activity in response to the presence of a ligand and developed switches in which a cancer marker triggers prodrug activation. Our current research efforts are divided between seeking an understanding of switch mechanisms and applying our techniques to create switches for applications.

Protein evolution (funded by NSF-MCB)

The fitness landscape model, as first conceptualized by John Maynard Smith in 1970, is a landmark concept for the fields of molecular evolution and macromolecular structure and function. The model imagines evolution as a process by which a sequence moves by mutations across the fitness landscape. The nature of the fitness landscape fundamentally shapes evolution. Using TEM-1 β-lactamase as a model gene, we are building a comprehensive and detailed maps of the fitness effects of mutations. These experiments have brought insight into the determinants of protein mutational effects, the interactions of mutations, the origins of the genetic code, the determinants of protein evolution rates, and natural evolutionary mechanisms. In addition we are using these results to formulate new approaches for directed evolution.",119 Maryland Hall,Wyman Quad,https://ostermeierlab.johnshopkins.edu/
Marco Grados,Professor ,Psychiatry and Behavioral Sciences,"Obsessive-Compulsive Disorder, Tourette Syndrome, Genetics, Trauma, Inpatient Psychiatry","The lab works in research related to child psychiatric disorders including obsessive-compulsive disorder (OCD), anxiety, Tourette syndrome, ADHD and autism. Work is available through guided readings, instruction on completing basic statistical work and fulfilling the goal of presenting the work at a national conference or complete publishable review on the selected topic. Datasets available are on pediatric OCD genetics, clinical inpatient unit and larger datasets on clinical OCD and Tourette syndrome. ",Bloomberg 12th floor - 12358,Bloomberg School of Public Health,
Margaret Johnson,Associate Professor,"Department of Biology,Department of Biophysics,Chemical and Biomolecular Engineering","Self-assembly and self-organization in cell biology. Clathrin-mediated endocytosis. Statistical mechanics, modeling dynamical systems.","Our multidisciplinary research group studies dynamical systems in biology. We address how macromolecular self-assembly is controlled to occur at the right place and time, with focus on endocytosis, viral exit, and transcriptional regulation. Group members are interested both in principles and design of self-assembly, as well as biological function in cells. They develop and apply theory, modeling, and simulations to these problems, with frequent collaboration with experimentalists.",121C Mergenthaler,Keyser Quad,https://sites.krieger.jhu.edu/johnson-lab/
Maria Bulzacchelli,Assistant Research Professor,Program in Public Health Studies," Injury prevention and control, occupational safety, prevention practices, evaluation, local public health systems","Dr. Bulzacchelli’s research interests are mainly in the area of injury prevention and control. She has considerable expertise in evaluating injury prevention interventions. Much of her work focuses on occupational injuries and safety-related behaviors, especially compliance with safety standards and worker behavior in hazardous industries such as manufacturing, tree care, and commercial fishing. The overarching objective of this work is to increase our understanding of the relationship between regulatory action, policy implementation, safety practices, and injury rates. Dr. Bulzacchelli is also interested in local public health systems. Her work in this area aims to ensure that local agencies can provide essential services to meet emerging as well as existing public health challenges.","3505 N. Charles Street, Room 202",3505 North Charles St,
Maria Merritt,Associate Professor,"International Health,Berman Institute of Bioethics (BIB)","Bioethics, Global Health, International Research Ethics, Public Health Ethics, Moral Philosophy, Moral Psychology","RESEARCH INTERESTS
Developing a novel methodology for considering social justice impacts side-by-side with cost-effectiveness as part of economic evaluation in health policy

Ethics of public health research in low- and middle-income countries – particularly questions about researchers’ responsibilities to benefit research participants and populations

Moral psychology, the study of feeling, thought, and action in morally significant contexts","615 N. Wolfe Street Room E8150 Baltimore, MD 21205",615 N. Wolfe Street,
Maria Procopio,Associate Scientist,Department of Biophysics,,,UTL G85,Krieger Hall,
Maria Trent,Professor,"Pediatrics,Population, Family and Reproductive Health","Adolescent Reproductive Health, Sexually Transmitted Infections, Pelvic Inflammatory Disease, Fertility Preservation, Childbearing Motivation, Polycystic Ovary Syndrome, Adolescent Obesitye-healthContraceptive management, Health Disparities",A major focus of Dr. Trent’s research and professional interest has been on adolescent and young adult reproductive health with specific focus on fertility preservation among high risk youth.  Dr. Trent is the principal investigator for a research program designed to develop a strategic approach to the management of complicated sexually transmitted infections in adolescents and a study designed to explore the feasibility and effectiveness of a text messaging intervention among young urban women using long-acting contraception.  She is also a co-investigator for the JHU NCS Health Disparities study.,"200 N. Wolfe Street, Room 2064, Baltimore, Maryland 21287",200 N. Wolfe Street,
Maria Wawer,Professor,"Population Center,Epidemiology","Rakai Health Sciences Program, HIV, HIV prevention, HPV, male circumcision, sexually transmitted infections, population-based cohort study",,"627 N. Washington Street, 2nd Floor, Baltimore, Maryland 21205",627 N. Washington Street,
Mariana Brait,Assistant Professor ,"Oncology, Sidney Kimmel Comprehensive Cancer Center,Otolaryngology - Head and Neck Surgery","Circulating DNA, Salivary Gland Tumors, Translational Cancer Research, genetics, cancer biomarkers, epigenetics, Early Detection of Cancer, head and neck cancer","Mariana Brait is a member of the Head and Neck Cancer Lab in the Department of Otolaryngology-Head and Neck Surgery.  Her primary research interests include cancer biomarkers, the early detection of cancer, circulating DNA, translational cancer research, epigenetics and genetics.",CRB2 504,1550 Orleans Street,
Marie Diener-West,Professor,"Ophthalmology, Wilmer Eye Institute,Biostatistics","Biostatistics, clinical trials, ocular melanoma, statistical methods, statistical education",,"615 N. Wolfe Street, Room W1015, Baltimore, Maryland 21205",615 N. Wolfe Street,
Marie-Aude Pradal,Associate Research Scientist,Department of Earth and Planetary Sciences,"Oceanic lateral mixing. Open Earth Systems- understanding the connection between mantle convection and climate. , Ozone and climate in the Southern Ocean , Aerosols and climate.",,321 Olin Hall,Olin,
Marilyn Albert,Professor ,"Department of Psychological & Brain Sciences,Neurology,Neuroscience,Pathology"," aging, cognition, memory","Research Summary
- Major research interests are in the area of cognitive change with age
- Disease-related changes of cognition (with a particular focus on Alzheimer's Disease)
- The relationship of cognitive change to brain structure and function, as assessed through imaging (e.g., MRI, fMRI, SPECT) and genetics
- Recent studies have focused on how to predict who will develop Alzheimer's disease over time
- Additional research efforts have included epidemiological studies of predictors of the maintenance of cognitive function, as well as cognitive decline",Reed Hall 227,Reed Hall,
Marin Kobilarov,Assistant Professor,"Electrical and Computer Engineering,Mechanical Engineering",Dynamics and Control Motion Planning Reasoning under Uncertainty Robotics and Aerospace,"The Autonomous Systems, Control, and Optimization Laboratory (ASCO) is part of the Laboratory for Computational Sensing and Robotics (LCSR) at Johns Hopkins.

The research goal of the lab is to create robots with unprecedented agility and robustness that can fully exploit their dynamical and sensing abilities to operate in natural environments. Such systems will be aware of the complex interaction between mechanics, perception and control, and will compute adaptively with performance guarantees in the presence of uncertainties.

The lab performs research in analytical and computational methods at the intersection of dynamical systems and control, optimization, and statistical learning, and in the design and integration of novel mechanisms and embedded systems. Current application areas: 1) autonomy in mobile (ground and aerial) robots and small spacecraft, and 2) computational tools for control and optimization of multi-body mechanical systems.",Hackerman 117,Hackerman,https://asco.lcsr.jhu.edu/
Marina Bedny,Associate Professor,"Department of Cognitive Science,Department of Psychological & Brain Sciences","Brain development and plasticity, cognitive neuroscience, concepts","Neuroplasticity and Development
How does developmental experience affect the human mind and brain? What is the role of experience in structuring concepts of events, objects and mental states? How are such abstract concepts implemented in neural circuits? Our lab investigates these longstanding philosophical puzzles using the methods of cognitive neuroscience and psychology.

We study the origins and structure of human cognition by comparing the minds and brains of people with different developmental experiences.

Cortical Plasticity
To examine the effects of nature and nurture on the human brain, we compare the minds and brains of sighted, congenitally blind and late-blind individuals. Areas of the primate occipital lobe are called “visual cortex” because in sighted people they respond almost exclusively to light. One line of work examines the acquisition of novel functions by visual cortex in blind individuals. In people who are blind, occipital cortex responds to touch, sound and even language. One of our goals is to uncover the cognitive functions that are supported by the occipital cortex in blind people. Are these functions similar to vision? Are they related to the function of nearby cortical tissue? Do the functional subdivisions within occipital cortex mirror organization elsewhere in the brain? We also work with blind and sighted children to study the time-course and mechanisms of cortical plasticity. Visual cortex plasticity provides a window into how genes and experience sculpt cortical function during development.

Conceptual Development
A second line of work examines how experience contributes to concept formation. We use behavioral and neural measures to study concepts of events, objects and mental states in blind individuals. For example, are there differences between blind and sighted people’s concepts of sight perception (e.g. the meanings of sight verbs such as “stare” and “glance”). What do blind adults know about events that could only be experienced through sight such as “sparkling” and “flashing?” How do blind children acquire such information?",Ames 225,Ames,https://bednylab.com/
